cds,districtcode,schoolcode,countyname,districtname,schoolname,lat,lng,coursecode,coursetitle
1.61E+12,161143,131177,ALAMEDA        ,Berkeley Unified,Berkeley High,37.868942,-122.2712,2451,Computer Programming
1.61E+12,161259,106906,ALAMEDA        ,Oakland Unified,Bay Area Technology,37.833537,-122.26015,2451,Computer Programming
1.61E+12,161275,136515,ALAMEDA        ,Piedmont City Unified,Piedmont High,37.823691,-122.23293,2451,Computer Programming
1.61E+12,161259,110189,ALAMEDA        ,Oakland Unified,McClymonds High,37.817852,-122.2786,2451,Computer Programming
1.61E+12,161176,130062,ALAMEDA        ,Fremont Unified,American High,37.56362,-122.01749,2451,Computer Programming
1.10E+12,110017,109835,ALAMEDA        ,Alameda County Office of Education,FAME Public Charter,37.521612,37.521612,2451,Computer Programming
1.61E+12,161168,132746,ALAMEDA        ,Emery Unified,Emery Secondary,37.835665,-122.28124,2453,Computer Science
1.77E+12,176653,120931,ALAMEDA        ,SBE - Livermore Valley Charter Preparatory High,Livermore Valley Charter Preparatory High,37.672849,-121.79396,2453,Computer Science
1.75E+12,175101,130096,ALAMEDA        ,Pleasanton Unified,Foothill High,37.672086,-121.91796,2453,Computer Science
1.75E+12,175101,130583,ALAMEDA        ,Pleasanton Unified,Amador Valley High,37.668294,-121.87324,2453,Computer Science
1.61E+12,161200,134536,ALAMEDA        ,Livermore Valley Joint Unified,Livermore High,37.680506,-121.76174,2458,Other Computer Education
1.61E+12,161200,133397,ALAMEDA        ,Livermore Valley Joint Unified,Granada High,37.675207,-121.7878,2458,Other Computer Education
1.77E+12,176653,120931,ALAMEDA        ,SBE - Livermore Valley Charter Preparatory High,Livermore Valley Charter Preparatory High,37.672849,-121.79396,2458,Other Computer Education
1.61E+12,161242,6097679,ALAMEDA        ,New Haven Unified,Cesar Chavez Middle,37.590181,-122.04732,2458,Other Computer Education
1.75E+12,175101,0,ALAMEDA        ,Pleasanton Unified,Pleasanton Unified,37.51449,-121.89287,2458,Other Computer Education
1.75E+12,175101,130096,ALAMEDA        ,Pleasanton Unified,Foothill High,37.672086,-121.91796,2470,AP Computer Science A
1.75E+12,175101,130583,ALAMEDA        ,Pleasanton Unified,Amador Valley High,37.668294,-121.87324,2470,AP Computer Science A
3.74E+12,373981,334755,AMADOR         ,Amador County Unified,Argonaut High,38.353835,-120.79181,2451,Computer Programming
3.10E+12,310033,330068,AMADOR         ,Amador County Office of Education,Amador County Special Education,38.352639,-120.77702,2451,Computer Programming
4.10E+12,410041,114991,BUTTE          ,Butte County Office of Education,CORE Butte Charter,39.754008,-121.85102,2451,Computer Programming
4.62E+12,461531,437350,BUTTE          ,Paradise Unified,Paradise Senior High,39.761643,-121.61406,2458,Other Computer Education
4.61E+12,461424,437558,BUTTE          ,Chico Unified,Pleasant Valley High,39.760087,-121.81716,2458,Other Computer Education
4.62E+12,461531,6003321,BUTTE          ,Paradise Unified,Paradise Intermediate,39.750689,-121.61324,2458,Other Computer Education
4.62E+12,461549,6003354,BUTTE          ,Thermalito Union Elementary,Nelson Avenue Middle,39.525211,-121.57942,2458,Other Computer Education
4.10E+12,410041,430090,BUTTE          ,Butte County Office of Education,Learning Community Charter,39.512396,-121.55649,2458,Other Computer Education
4.76E+12,475507,433953,BUTTE          ,Gridley Unified,Gridley High,39.367857,-121.68155,2458,Other Computer Education
5.62E+12,561564,6105431,CALAVERAS      ,Calaveras Unified,Toyon Middle,38.214464,-120.76085,2458,Other Computer Education
6.62E+12,661606,634758,COLUSA         ,Maxwell Unified,Maxwell High,39.276225,-122.20354,2453,Computer Science
6.62E+12,661614,635250,COLUSA         ,Pierce Joint Unified,Pierce High,39.009382,-122.05603,2453,Computer Science
6.62E+12,661622,637504,COLUSA         ,Williams Unified,Williams Junior/Senior High,39.155245,-122.15657,2458,Other Computer Education
6.62E+12,661598,631259,COLUSA         ,Colusa Unified,Colusa High,39.200824,-122.0207,4601,Computer Operations / Computer Science
6.62E+12,661614,635250,COLUSA         ,Pierce Joint Unified,Pierce High,39.009382,-122.05603,4601,Computer Operations / Computer Science
7.62E+12,761697,6003685,CONTRA COSTA   ,John Swett Unified,Carquinez Middle,38.050566,-122.22224,2451,Computer Programming
7.62E+12,761796,6119515,CONTRA COSTA   ,West Contra Costa Unified,Hercules Middle,37.999763,-122.25196,2453,Computer Science
7.62E+12,761796,6057236,CONTRA COSTA   ,West Contra Costa Unified,Pinole Middle,37.99764,-122.30293,2453,Computer Science
7.62E+12,761796,6057228,CONTRA COSTA   ,West Contra Costa Unified,Helms Middle,37.963062,-122.3417,2453,Computer Science
7.62E+12,761663,6003669,CONTRA COSTA   ,Byron Union Elementary,Excelsior Middle,37.878876,-121.63911,2458,Other Computer Education
7.62E+12,761804,6117451,CONTRA COSTA   ,San Ramon Valley Unified,Diablo Vista Middle,37.798666,-121.8973,2458,Other Computer Education
7.62E+12,761804,108324,CONTRA COSTA   ,San Ramon Valley Unified,Windemere Ranch Middle,37.750046,-121.8963,2458,Other Computer Education
7.62E+12,761804,6097166,CONTRA COSTA   ,San Ramon Valley Unified,Pine Valley Middle,37.738801,-121.94352,2458,Other Computer Education
7.62E+12,761648,730465,CONTRA COSTA   ,Antioch Unified,Deer Valley High,37.969,-121.7777,2470,AP Computer Science A
7.62E+12,761721,107797,CONTRA COSTA   ,Liberty Union High,Heritage High,37.925169,-121.75247,2470,AP Computer Science A
7.62E+12,761796,733659,CONTRA COSTA   ,West Contra Costa Unified,Kennedy High,37.924175,-122.32929,2470,AP Computer Science A
7.62E+12,761804,734368,CONTRA COSTA   ,San Ramon Valley Unified,Monte Vista High,37.844814,-121.98233,2470,AP Computer Science A
7.62E+12,761804,113118,CONTRA COSTA   ,San Ramon Valley Unified,Dougherty Valley High,37.769447,-121.90321,2470,AP Computer Science A
7.62E+12,761804,730051,CONTRA COSTA   ,San Ramon Valley Unified,California High,37.747584,-121.94516,2470,AP Computer Science A
7.62E+12,761762,6119226,CONTRA COSTA   ,Oakley Union Elementary,Delta Vista Middle,37.993622,-121.6895,2479,MYP Computer Technology
7.62E+12,761762,6108765,CONTRA COSTA   ,Oakley Union Elementary,O'Hara Park Middle,37.989196,-121.71172,2479,MYP Computer Technology
7.62E+12,761648,110494,CONTRA COSTA   ,Antioch Unified,Bidwell Continuation High,37.999466,-121.79188,4601,Computer Operations / Computer Science
7.62E+12,761796,735316,CONTRA COSTA   ,West Contra Costa Unified,Pinole Valley High,37.990114,-122.28586,4601,Computer Operations / Computer Science
7.62E+12,761648,730465,CONTRA COSTA   ,Antioch Unified,Deer Valley High,37.969,-121.7777,4601,Computer Operations / Computer Science
7.62E+12,761796,732164,CONTRA COSTA   ,West Contra Costa Unified,De Anza Senior High,37.967289,-122.28556,4601,Computer Operations / Computer Science
7.62E+12,761721,733980,CONTRA COSTA   ,Liberty Union High,Liberty High,37.93488,-121.69513,4601,Computer Operations / Computer Science
7.62E+12,761721,107797,CONTRA COSTA   ,Liberty Union High,Heritage High,37.925169,-121.75247,4601,Computer Operations / Computer Science
7.62E+12,761804,734368,CONTRA COSTA   ,San Ramon Valley Unified,Monte Vista High,37.844814,-121.98233,4601,Computer Operations / Computer Science
7.62E+12,761804,736504,CONTRA COSTA   ,San Ramon Valley Unified,San Ramon Valley High,37.82596,-122.00654,4601,Computer Operations / Computer Science
